Class,F1 Score
Class 0 F1,0.08450704225352113
Class 1 F1,0.06862745098039216
Class 2 F1,0.08835341365461848
Class 3 F1,0.12684365781710916
Class 4 F1,0.05217391304347826
Class 5 F1,0.12267657992565056
Class 6 F1,0.06060606060606061
Class 7 F1,0.10315186246418338
Class 8 F1,0.050761421319796954
Class 9 F1,0.10303030303030303
Class 10 F1,0.08791208791208792
Class 11 F1,0.08941176470588236
