Class,F1 Score
Class 0 F1,0.10344827586206896
Class 1 F1,0.14701378254211334
Class 2 F1,0.09404388714733543
Class 3 F1,0.07899461400359066
Class 4 F1,0.10545454545454545
Class 5 F1,0.1288135593220339
Class 6 F1,0.0824295010845987
Class 7 F1,0.10793650793650794
Class 8 F1,0.1171303074670571
